order_id,invoice_date,invoice_amount,invoice_status
1,2025-01-25,21076.0,Generated
2,2025-02-20,2469.28,Generated
3,2025-03-17,19143.52,Generated
4,2025-03-28,4290.0,Generated
5,2024-11-12,16871.36,Generated
6,2024-05-05,9836.64,Generated
7,2025-01-17,1585.76,Generated
8,2024-04-28,3062.4,Generated
9,2024-11-27,9702.0,Generated
10,2024-06-26,19547.44,Generated
11,2024-10-22,1649.12,Generated
12,2025-02-28,1166.88,Generated
13,2025-03-11,8263.2,Generated
14,2024-08-01,15551.36,Generated
15,2025-02-27,6121.28,Generated
16,2024-11-27,3096.72,Generated
17,2025-03-21,12615.68,Generated
18,2024-11-28,14403.84,Generated
19,2025-02-05,12265.44,Generated
20,2024-06-12,15928.0,Generated
21,2024-05-31,4143.92,Generated
22,2024-12-11,7899.76,Generated
23,2025-02-01,10890.88,Generated
24,2024-10-13,7839.04,Generated
25,2024-05-03,14006.08,Generated
26,2025-03-25,24608.32,Generated
27,2024-08-01,2655.84,Generated
28,2024-07-27,9810.24,Generated
29,2024-04-03,10837.2,Generated
30,2024-10-18,9217.12,Generated
31,2025-01-15,18546.0,Generated
32,2024-07-24,6252.4,Generated
33,2025-02-19,21631.28,Generated
34,2025-02-26,14670.48,Generated
35,2024-04-20,13899.6,Generated
36,2024-08-03,17173.2,Generated
37,2024-05-19,13405.92,Generated
38,2024-07-12,23273.36,Generated
39,2024-04-01,10400.72,Generated
40,2024-04-20,1102.64,Generated
41,2024-11-25,27181.44,Generated
42,2024-04-25,3928.32,Generated
43,2024-10-23,3622.08,Generated
44,2024-08-02,20577.04,Generated
45,2024-07-22,19565.92,Generated
46,2025-03-11,1006.72,Generated
47,2024-04-23,19763.92,Generated
48,2025-01-10,6959.04,Generated
49,2025-02-21,10288.96,Generated
50,2025-01-21,5771.92,Generated
51,2024-10-29,21189.52,Generated
52,2024-08-13,5231.6,Generated
53,2024-04-22,2560.8,Generated
54,2024-06-18,28768.96,Generated
55,2024-11-26,28754.88,Generated
56,2024-04-10,5346.88,Generated
57,2024-12-02,3388.0,Generated
58,2024-05-24,17954.64,Generated
59,2025-03-30,10041.68,Generated
60,2024-05-20,1823.36,Generated
61,2024-07-05,24490.4,Generated
62,2024-06-13,12522.4,Generated
63,2024-12-27,7083.12,Generated
64,2024-06-23,6095.76,Generated
65,2025-02-10,18626.08,Generated
66,2024-12-19,18116.56,Generated
67,2024-09-13,10543.28,Generated
68,2024-05-25,22291.28,Generated
69,2024-12-18,16403.2,Generated
70,2024-10-13,10686.72,Generated
71,2024-04-02,809.6,Generated
72,2024-05-07,8870.4,Generated
73,2024-04-16,11555.28,Generated
74,2025-01-10,14116.08,Generated
75,2025-02-26,11250.8,Generated
76,2024-05-14,15808.32,Generated
77,2024-12-14,6698.56,Generated
78,2025-01-13,4121.92,Generated
79,2025-02-12,7380.56,Generated
80,2025-02-08,24725.36,Generated
81,2025-01-30,8417.2,Generated
82,2025-01-01,20100.08,Generated
83,2024-05-10,6280.56,Generated
84,2025-03-28,27285.28,Generated
85,2024-04-28,12723.92,Generated
86,2025-03-05,7054.08,Generated
87,2025-01-05,12899.92,Generated
88,2025-02-09,17772.48,Generated
89,2024-08-27,27302.88,Generated
90,2024-11-21,14833.28,Generated
91,2024-10-21,18931.44,Generated
92,2025-03-10,9758.32,Generated
93,2024-04-04,16204.32,Generated
94,2025-01-12,10567.04,Generated
95,2024-07-16,6073.76,Generated
96,2024-04-13,3109.04,Generated
97,2024-07-05,3682.8,Generated
98,2024-12-16,12288.32,Generated
99,2024-11-21,11663.52,Generated
100,2024-07-16,14345.76,Generated
101,2024-06-02,6636.96,Generated
102,2025-03-29,1224.96,Generated
103,2025-02-27,15183.52,Generated
104,2024-07-16,6820.0,Generated
105,2025-03-10,12990.56,Generated
106,2024-11-06,3657.28,Generated
107,2024-05-27,7448.32,Generated
108,2025-02-08,22799.04,Generated
109,2024-05-15,1732.72,Generated
110,2025-01-05,1425.6,Generated
111,2024-12-23,17668.64,Generated
112,2024-09-28,15688.64,Generated
113,2025-03-13,14071.2,Generated
114,2024-05-19,6520.8,Generated
115,2024-05-15,18288.16,Generated
116,2024-08-01,13052.16,Generated
117,2024-05-22,5520.24,Generated
118,2024-05-16,12851.52,Generated
119,2024-10-06,14473.36,Generated
120,2024-08-19,14089.68,Generated
121,2024-09-02,8764.8,Generated
122,2024-09-06,6434.56,Generated
123,2024-08-30,8317.76,Generated
124,2024-06-15,3125.76,Generated
125,2024-12-09,21663.84,Generated
126,2025-02-05,4378.0,Generated
127,2025-01-21,9191.6,Generated
128,2024-09-19,12689.6,Generated
129,2024-07-08,24412.96,Generated
130,2024-04-04,8960.16,Generated
131,2024-05-11,20900.0,Generated
132,2024-05-09,26512.64,Generated
133,2024-04-23,7492.32,Generated
134,2024-05-29,18455.36,Generated
135,2025-03-16,12035.76,Generated
136,2025-03-21,11221.76,Generated
137,2025-02-01,25348.4,Generated
138,2024-07-19,7549.52,Generated
139,2024-12-23,3408.24,Generated
140,2024-10-15,14440.8,Generated
141,2024-11-20,2594.24,Generated
142,2024-10-26,7286.4,Generated
143,2025-02-07,14432.0,Generated
144,2025-01-20,9294.56,Generated
145,2025-02-27,5971.68,Generated
146,2024-07-17,17806.8,Generated
147,2024-05-11,7933.2,Generated
148,2024-04-12,23041.92,Generated
149,2024-05-01,3773.44,Generated
150,2024-04-16,5720.88,Generated
151,2025-03-10,2745.6,Generated
152,2025-03-15,506.88,Generated
153,2024-06-09,5363.6,Generated
154,2024-11-07,902.0,Generated
155,2024-04-29,13851.2,Generated
156,2024-07-02,14829.76,Generated
157,2025-02-11,23640.32,Generated
158,2024-08-29,4931.52,Generated
159,2024-11-13,18043.52,Generated
160,2024-08-09,19173.44,Generated
161,2025-03-28,8911.76,Generated
162,2024-06-08,9673.84,Generated
163,2024-08-08,13864.4,Generated
164,2024-09-01,10216.8,Generated
165,2024-09-26,5313.44,Generated
